Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
,,,,,,,,,,,,SHOULD A PLANT ALWAYS SIGNAL ITS DEFENSE AGAINST HERBIVORES,"AUGNER, M",,,,OIKOS,Sep-94,1994,70,3,,,,322,332,,10.2307/3545769,,,24,1
,,,,,,,,,,,,Phylogeny of Neotropical Castniinae (Lepidoptera: Cossoidea: Castniidae): testing the hypothesis of the mimics as a monophyletic group and implications for the arrangement of the genera,"Moraes, Simeao De Souza; Duarte, Marcelo",,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Feb-14,2014,170,2,,,,362,399,,,,,0,0
,,,,,,,,,,,,COMPARATIVE UNPALATABILITY OF MIMETIC VICEROY BUTTERFLIES (LIMENITIS-ARCHIPPUS) FROM 4 SOUTH-EASTERN UNITED-STATES POPULATIONS,"RITLAND, DB",,,,OECOLOGIA,Aug-95,1995,103,3,,,,327,336,,10.1007/BF00328621,,,15,0.65
,,,,Spider,,,Ant,,,,Predator,"The multiple disguises of spiders: web colour and decorations, body colour and movement","Thery, Marc; Casas, Jerome",,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,FEB 27 2009,2009,364,1516,,,,471,480,,10.1098/rstb.2008.0212,,,48,5.33
,,,,,,,,,,,,DO RUFOUS-TAILED JACAMARS (GALBULA RUFICAUDA) PLAY WITH APOSEMATIC BUTTERFLIES?,"Pinheiro, Carlos Eduardo G.; de Campos, Vitor Cesar",,,,ORNITOLOGIA NEOTROPICAL,2013,2013,24,3,,,,365,367,,,,,1,0.2
,Theoretical,,,,,,,,,,,Predator discrimination error and the benefits of Mullerian mimicry,"MacDougall, A; Dawkins, MS",,,,ANIMAL BEHAVIOUR,May-98,1998,55,,5,,,1281,1288,,10.1006/anbe.1997.0702,,,40,2
,,,,,,,,,,,,Disentangling taste and toxicity in aposematic prey.,"Holen, Oistein Haugsten",,,,Proceedings of the Royal Society Biological Sciences Series B,Feb 22 2013,2013,280,1753,,,,1,8,,,,,0,0
,,,,Snake,,,Snake,,,,Predator,"Do aposematism and Batesian mimicry require bright colours? A test, using European viper markings","Wuster, W; Allum, CSE; Bjargardottir, IB; Bailey, KL; Dawson, KJ; Guenioui, J; Lewis, J; McGurk, J; Moore, AG; Niskanen, M; Pollard, CP",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,DEC 7 2004,2004,271,1556,,,,2495,2499,,10.1098/rspb.2004.2894,,,66,4.71
,,,,,,,,,,,,SHELL COLOR ONTOGENY AND TUBEWORM MIMICRY IN A MARINE GASTROPOD LITTORINA-MARIAE,"REIMCHEN, TE",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,JAN-FEB 1989,1989,36,01-Feb,,,,97,109,,10.1111/j.1095-8312.1989.tb00485.x,,,16,0.55
,,,,,,,,,,,,Gene flow and mimicry: Why are there mimics where there are no models?,"Harper, GR",,,,INTEGRATIVE AND COMPARATIVE BIOLOGY,Dec-03,2003,43,6,,,,951,951,,,Annual Meeting of the Society-for-Integrative-and-Comparative-Biology,2004,0,0
,,,,Butterfly,,,Butterfly,,,,Predator,"Polymorphic mimicry in Papilio dardanus: mosaic dominance, big effects, and origins","Nijhout, HF",,,,EVOLUTION & DEVELOPMENT,NOV-DEC 2003,2003,5,6,,,,579,592,,10.1046/j.1525-142X.2003.03063.x,,,38,2.53
,,,,,,,,,,,,Defining the colour pattern phenotype in bumble bees (Bombus): a new model for evo devo,"Rapti, Zoi; Duennes, Michelle A.; Cameron, Sydney A.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Oct-14,2014,113,2,,,,384,404,,10.1111/bij.12356,,,3,0.75
,,,,,,,,,,,,A mathematical model for predation on Batesian mimics,"Tsoularis, A.",,,,JOURNAL OF BIOLOGICAL SYSTEMS,Mar-08,2008,16,1,,,,165,174,,10.1142/S021833900800240X,,,2,0.2
,,,,,,,,,,,,Specialized exploitation of ants (Hymenoptera: Formicidae) by spiders (Araneae),"Jackson, Robert R.; Nelson, Ximena J.",,,,MYRMECOLOGICAL NEWS,Aug-12,2012,17,,,,,33,49,,,,,11,1.83
,,,,,,,,,,,,Evidence for a Mullerian mimetic radiation in Asian pitvipers,"Sanders, KL; Malhotra, A; Thorpe, RS",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 7 2006,2006,273,1590,,,,1135,1141,,10.1098/rspb.2005.3418,,,14,1.17
,,,,,,,,,,,,Predators' decisions to eat defended prey depend on the size of undefended prey,"Halpin, Christina G.; Skelhorn, John; Rowe, Candy",,,,ANIMAL BEHAVIOUR,Jun-13,2013,85,6,,,,1315,1321,,10.1016/j.anbehav.2013.03.021,,,15,3
,,,,,,,,,,,,Competition and mimicry: the curious case of chaetae in brachiopods from the middle Cambrian Burgess Shale,"Topper, Timothy P.; Strotz, Luke C.; Holmer, Lars E.; Zhang, Zhifei; Tait, Noel N.; Caron, Jean-Bernard",,,,BMC EVOLUTIONARY BIOLOGY,MAR 13 2015,2015,15,,,,,,,42,10.1186/s12862-015-0314-4,,,3,1
,,,,Artificial,,,Artificial,,,,Predator/bird,Testing Mullerian mimicry: an experiment with wild birds,"Speed, MP; Alderson, NJ; Hardman, C; Ruxton, GD",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,APR 7 2000,2000,267,1444,,,,725,731,,,,,40,2.22
,,,,,,,,,,,,Evidence for Fisher's dominance theory: how many 'special cases'?,"Billiard, Sylvain; Castric, Vincent",,,,TRENDS IN GENETICS,Nov-11,2011,27,11,,,,441,445,,10.1016/j.tig.2011.06.005,,,10,1.43
,,,,,,,,,,,,WARNING SIGNALS EVOLVE TO DISENGAGE BATESIAN MIMICS,"Franks, Daniel W.; Ruxton, Graeme D.; Sherratt, Thomas N.",,,,EVOLUTION,Jan-09,2009,63,1,,,,256,267,,10.1111/j.1558-5646.2008.00509.x,,,18,2
,,,,,,,,,,,,"Darwin, Bates, Muller y la teoria del mimetismo.","Lamas, G.",,,,Boletin de Lima,1989,1989,11,,,No. 66,,51,56,,,,,0,0
,,,,,,,,,,,,"Morphological, colour and behavioural mimicry of cuckoo bees by the hoverfly Eumerus tricolor (Fabricius) (Diptera: Syrphidae)","Bogusch, Petr",,,,ENTOMOLOGICA FENNICA,OCT 24 2016,2016,27,3,,,,133,138,,,,,0,0
,,,,,,,,,,,,"About distastefulness and mimicry: A comment on Peter Smetacek's article (J. Lep. Soc., Vol. 60 : 82-85)","Kunte, Krushnamegh",,,,Journal of the Lepidopterists' Society,MAY 10 2007,2007,61,1,,,,57,,,,,,0,0
,,,,,,,,,,,,Can Batesian mimicry help plants to deter herbivores?,"Massei, Giovanna; Cotterill, Jane V.; Coats, Julia C.; Bryning, Gareth; Cowan, Dave P.",,,,PEST MANAGEMENT SCIENCE,Jun-07,2007,63,6,,,,559,563,,10.1002/ps.1360,,,6,0.55
,,,,,,,,,,,,Colors and some morphological traits as defensive mechanisms in anurans.,"Toledo, Luis Felipe; Haddad, Celio F.B.",,,,International Journal of Zoology,2009,2009,2009,,,(Article ID 910892),,1,12,,10.1155/2009/910892,,,9,1
,,,,,,,,,,,,Batesian acoustic mimicry by the Regent honeyeater Xanthomyza phrygia.,"Veerman, Philip A.",,,,Australian Bird Watcher,Jun-94,1994,15,6,,,,250,259,,,,,2,0.08
,,,,,,,,,,,,The benefits of being toxic to deter predators depends on prey body size,"Smith, Karen E.; Halpin, Christina G.; Rowe, Candy",,,,BEHAVIORAL ECOLOGY,NOV-DEC 2016,2016,27,6,,,,1650,1655,,10.1093/beheco/arw086,,,0,0
,,,,,,,,,,,,Compound mimicry and trading predators by the males of sexually dimorphic Batesian mimics,"Nelson, XJ; Jackson, RR",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,FEB 7 2006,2006,273,1584,,,,367,372,,10.1098/rspb.2005.3340,,,18,1.5
,,,,,,,,,,,,Ecology and evolution of mimicry in coral reef fishes,"Moland, E; Eagle, JV; Jones, GP",,,"Gibson, RN; Atkinson, RJA; Gordon, JDM","OCEANOGRAPHY AND MARINE BIOLOGY - AN ANNUAL REVIEW, VOL. 43",2005,2005,43,,,,,455,482,,,,,21,1.62
,Theoretical,,,,,,,,,,,Coevolutionary chase in two-species systems with applications to mimicry,"Gavrilets, S; Hastings, A",,,,JOURNAL OF THEORETICAL BIOLOGY,APR 21 1998,1998,191,4,,,,415,427,,10.1006/jtbi.1997.0615,,,57,2.85
,"Theoretical, kin selection hypothesis",,,,,,,,,,,The evolution of inaccurate mimics,"Johnstone, RA",,,,NATURE,AUG 1 2002,2002,418,6897,,,,524,526,,10.1038/nature00845,,,56,3.5
,,,,,,,,,,,,"Spider-Ant Associations: An Updated Review of Myrmecomorphy, Myrmecophily, and Myrmecophagy in Spiders.","Cushing, Paula E.",,,,Psyche (Cambridge),2012,2012,2012,,,Article ID 151989,,1,23,,,,,12,2
,,,,,,,,,,,,Mimicry among Unequally Defended Prey Should Be Mutualistic When Predators Sample Optimally.,"Aubier, Thomas G; Joron, Mathieu; Sherratt, Thomas N",,,,The American naturalist,2017-Mar,2017,189,3,,,,267,282,,10.1086/690121,,,0,0
,,,,,,,,,,,,Evolutionarily stable investment in secondary defences,"Broom, M; Speed, MP; Ruxton, GD",,,,FUNCTIONAL ECOLOGY,Oct-05,2005,19,5,,,,836,843,,10.1111/j.1365-2435.2005.01030.x,,,18,1.38
,,,,,,,,,,,,A hypothesis to explain accuracy of wasp resemblances,"Boppre, Michael; Vane-Wright, Richard I.; Wickler, Wolfgang",,,,ECOLOGY AND EVOLUTION,Jan-17,2017,7,1,,,,73,81,,10.1002/ece3.2586,,,0,0
,,,,,,,,,,,,ADAPTIVE RESEMBLANCE - A UNIFYING CONCEPT FOR MIMICRY AND CRYPSIS,"STARRETT, A",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Apr-93,1993,48,4,,,,299,317,,10.1111/j.1095-8312.1993.tb02093.x,,,28,1.12
,,,,,,,,,,,,Are juvenile coral-trouts (Plectropomus) mimics of poisonous pufferfishes (Canthigaster) on coral reefs?,"Frisch, Ashley J.",,,,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,Sep-06,2006,27,3,,,,247,252,,10.1111/j.1439-0485.2006.00103.x,,,4,0.33
,,,,,,,,,,,,"Evidence for Batesian mimicry in a polymorphic hoverfly (vol 68, pg 827, 2014)","Edmunds, Malcolm",,,,EVOLUTION,Jul-14,2014,68,7,,,,2156,2157,,10.1111/evo.12431,,,0,0
,,,,,,,,,,,,THE DIVERSITY AND EVOLUTION OF BATESIAN MIMICRY IN PAPILIO SWALLOWTAIL BUTTERFLIES,"Kunte, Krushnamegh",,,,EVOLUTION,Oct-09,2009,63,10,,,,2707,2716,,10.1111/j.1558-5646.2009.00752.x,,,24,2.67
,,,,,,,,,,,,"Bijzonder kleurige salamanders in Massachusetts, USA. Very colourful salamanders in Massachusetts (U.S.A.).","ter Borg, J.",,,,Lacerta,2014,2014,72,05-Jun,,,,228,242,,,,,0,0
,,,,,,,,,,,,"Preliminary evidence that the long-proboscid fly, Philoliche gulosa, pollinates Disa karooica and its proposed Batesian model Pelargonium stipulaceum","Combs, J. K.; Pauw, A.",,,,SOUTH AFRICAN JOURNAL OF BOTANY,Oct-09,2009,75,4,,,,757,761,,10.1016/j.sajb.2009.06.015,,,5,0.56
,,,,,,,,,,,,Sexual and seasonal differences in the frequency of beak marks on the wings of two Lethe butterflies,"Ide, JY",,,,ECOLOGICAL RESEARCH,May-06,2006,21,3,,,,453,459,,10.1007/s11284-005-0140-z,,,11,0.92
,,,,,,,,,,,,Red legs and golden gasters: Batesian mimicry in Australian ants,"Merrill, DN; Elgar, MA",,,,NATURWISSENSCHAFTEN,May-00,2000,87,5,,,,212,215,,10.1007/s001140050705,,,4,0.22
,,,,Cuckoo,,,Hawk,,,,Brood host,A parasite in wolf's clothing: hawk mimicry reduces mobbing of cuckoos by hosts,"Welbergen, Justin A.; Davies, Nicholas B.",,,,BEHAVIORAL ECOLOGY,MAY-JUN 2011,2011,22,3,,,,574,579,,10.1093/beheco/arr008,,,47,6.71
,,,,,,,,,,,,Locomotory mimicry in ant-like spiders,"Nelson, Ximena J.; Card, Ashley",,,,BEHAVIORAL ECOLOGY,MAY-JUN 2016,2016,27,3,,,,700,707,,10.1093/beheco/arv218,,,2,1
,,,,,,,,,,,,Geographical variation in the benefits obtained by a coral reef fish mimic,"Cheney, Karen L.; Grutter, Alexandra S.; Bshary, Redouan",,,,ANIMAL BEHAVIOUR,Feb-14,2014,88,,,,,85,90,,10.1016/j.anbehav.2013.11.006,,,1,0.25
,,,,,,,,,,,,New species of Mutillid Mimicking Enoclerus Gahan (Coleoptera: Cleridae: Clerinae) from Mexico and Central America,"Rifkind, Jacques",,,,ZOOTAXA,FEB 13 2017,2017,4231,3,,,,409,420,,10.11646/zootaxa.4231.3.7,,,0,0
,,,,,,,,,,,,"Schwebfliegen der Gattung Eristalis (Diptera, Syrphidae, Eristalini): Massennahrung fuer Insektenfresser oder geschuetzte Nachahmer von Stechimmen? Ein Diskussionsbeitrag.. Hoverflies of the genus Eristalis (Diptera, Syrphidae, Eristalini): staple food for insectivores or protected mimics of stinging Hymenoptera? A contribution to a discussion.","Jacobi, Bernhard",,,,Entomologie Heute,2006,2006,18,,,,,143,150,,,,,0,0
,,,,,,,,,,,,Beak marks on the wings of butterflies and predation pressure in the field,"Ota, Masato; Yuma, Masahide; Mitsuo, Yoshito; Togo, Yuki",,,,ENTOMOLOGICAL SCIENCE,Oct-14,2014,17,4,,,,371,375,,10.1111/ens.12076,,,2,0.5
,,,,,,,,,,,,Preferential predation of female butterflies and the evolution of batesian mimicry,"Naota, Ohsaki",,,,Nature (London),1995,1995,378,6553,,,,173,175,,,,,0,0
,,,,,,,,,,,,SEX-LIMITED VARIABILITY AND MIMICRY IN THE SWALLOWTAIL BUTTERFLY PAPILIO-POLYXENES FABR,"HAZEL, WN",,,,HEREDITY,Aug-90,1990,65,,1,,,109,114,,10.1038/hdy.1990.76,,,4,0.14
,,,,,,,,,,,,The Relationship between Morphological and Behavioral Mimicry in Hover Flies (Diptera: Syrphidae),"Penney, Heather D.; Hassall, Christopher; Skevington, Jeffrey H.; Lamborn, Brent; Sherratt, Thomas N.",,,,AMERICAN NATURALIST,FEB 1 2014,2014,183,2,,,,281,289,,10.1086/674612,,,10,2.5
,,,,,,,,,,,,Resembling a Viper: Implications of Mimicry for Conservation of the Endangered Smooth Snake,"Valkonen, Janne K.; Mappes, Johanna",,,,CONSERVATION BIOLOGY,Dec-14,2014,28,6,,,,1568,1574,,10.1111/cobi.12368,,,2,0.5
,,,,,,,,,,,,"MIMICRY AND MUTUALISM IN CARNIVOROUS PITCHER PLANTS (SARRACENIACEAE, NEPENTHACEAE, CEPHALOTACEAE, BROMELIACEAE)","JOEL, DM",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Oct-88,1988,35,2,,,,185,197,,10.1111/j.1095-8312.1988.tb00465.x,,,25,0.83
,,,,,,,,,,,,Variation in predator species abundance can cause variable selection pressure on warning signaling prey,"Valkonen, Janne K.; Nokelainen, Ossi; Niskanen, Martti; Kilpimaa, Janne; Bjorklund, Mats; Mappes, Johanna",,,,ECOLOGY AND EVOLUTION,Aug-12,2012,2,8,,,,1971,1976,,10.1002/ece3.315,,,17,2.83
,,,,,,,,,,,,Inter-species variation in unpalatability does not explain polymorphism in a mimetic species,"Arias, Monica; Mappes, Johanna; Thery, Marc; Llaurens, Violaine",,,,EVOLUTIONARY ECOLOGY,Jun-16,2016,30,3,,,,419,433,,10.1007/s10682-015-9815-2,,,1,0.5
,,,,,,,,,,,,Evolution - the modern obsession. Part 3: Batesian mimicry.,"Brown, Nick",,,,Bulletin of the Amateur Entomologists' Society,Dec-00,2000,59,433,,,,232,237,,,,,0,0
,,,,,,,,,,,,"Signals, cues and the nature of mimicry.","Jamie, Gabriel A",,,,Proceedings. Biological sciences,2017-Feb-22,2017,284,1849,,,,,,,10.1098/rspb.2016.2080,,,0,0
,,,,Flower,,,Flower,,,,Pollinator/Diptera,The effects of floral mimics and models on each others' fitness,"Anderson, B; Johnson, SD",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,APR 22 2006,2006,273,1589,,,,969,974,,10.1098/rspb.2005.3401,,,32,2.67
,,,,,,,,,,,,Mimicry and masquerade from the avian visual perspective,"Stoddard, Mary Caswell",,,,CURRENT ZOOLOGY,2012,2012,58,4,,,,630,648,,,,,24,4
,,,,,,,,,,,,A common mechanism explaining the evolution of female-limited and both-sex Batesian mimicry in butterflies,"Ohsaki, N",,,,JOURNAL OF ANIMAL ECOLOGY,Jul-05,2005,74,4,,,,728,734,,10.1111/j.1365-2656.2005.00972.x,,,18,1.38
,,,,,,,,,,,,Evolutionary implications of deception in mimicry and masquerade,"Nelson, Ximena J.",,,,CURRENT ZOOLOGY,2014,2014,60,1,,,,6,15,,,,,4,1
,,,,,,,,,,,,"A model for population dynamics of the mimetic butterfly Papilio polytes in the Sakishima Islands, Japan","Sekimura, Toshio; Fujihashi, Yuta; Takeuchi, Yasuhiro",,,,JOURNAL OF THEORETICAL BIOLOGY,NOV 21 2014,2014,361,,,,,133,140,,10.1016/j.jtbi.2014.06.029,,,0,0
,,,,,,,,,,,,The model of early evolution of aposematic coloration,"Grabovsky, V. I.",,,,ZHURNAL OBSHCHEI BIOLOGII,JAN-FEB 2012,2012,73,1,,,,37,48,,,,,0,0
,,,,,,,,,,,,Body size and colour-pattern genetics in the polymorphic mimetic butterfly Hypolimnas misippus (L.),"Gordon, IJ; Smith, DAS",,,,HEREDITY,Jan-98,1998,80,,1,,,62,69,,10.1046/j.1365-2540.1998.00259.x,,,7,0.35
,Mullerian,,,Artificial,,,Artificial,,,,Predator/artificial,MUELLERIAN MIMICRY AND THE PSYCHOLOGY OF PREDATION,"SPEED, MP",,,,ANIMAL BEHAVIOUR,Mar-93,1993,45,3,,,,571,580,,10.1006/anbe.1993.1067,,,94,3.76
,,,,,,,,,,,,"The Queen Butterfly, Danaus chrysippus (L.) (Lepidoptera: Nymphalidae) at Khartoum, Sudan.","Idris, Eihab; Hassan, Sami Saeed M.",,,,Egyptian Academic Journal of Biological Sciences A Entomology,2012,2012,5,2,,,,95,102,,,,,2,0.33
,,,,,,,,,,,,A Predator's Perspective of the Accuracy of Ant Mimicry in Spiders.,"Nelson, Ximena J.",,,,Psyche (Cambridge),2011,2011,2012,,,Article ID 168549,,1,5,,,,,6,0.86
,,,,,,,,,,,,Lying to Pinocchio: floral deception in an orchid pollinated by long-proboscid flies,"Johnson, Steven D.; Morita, Shelah",,,,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,Nov-06,2006,152,3,,,,271,278,,10.1111/j.1095-8339.2006.00571.x,,,27,2.25
,,,,,,,,,,,,Effects of extreme variation in female morph frequencies on the mating behaviour of male damselflies,"Ting, Janice J.; Bots, Jessica; Jvostov, Felipe Perez; van Gossum, Hans; Sherratt, Thomas N.",,,,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Dec-09,2009,64,2,,,,225,236,,10.1007/s00265-009-0839-x,,,12,1.33
,,,,,,,,,,,,Selection for multicomponent mimicry: equal feature salience and variation in preferred traits,"Kikuchi, David W.; Mappes, Johanna; Sherratt, Thomas N.; Valkonen, Janne K.",,,,BEHAVIORAL ECOLOGY,SEP-OCT 2016,2016,27,5,,,,1515,1521,,10.1093/beheco/arw072,,,0,0
,,,,,,,,,,,,Tough African models and weak mimics: New horizons in the evolution of bad taste.,"DeVries, P. J.",,,,Journal of the Lepidopterists' Society,29-Sep-03,2003,57,3,,,,235,238,,,,,6,0.4
,,,,,,,,,,,,Hidden in taxonomy: Batesian mimicry by a syrphid fly towards a Patagonian bumblebee,"Polidori, Carlo; Nieves-Aldrey, Jose L.; Gilbert, Francis; Rotheray, Graham E.",,,,INSECT CONSERVATION AND DIVERSITY,Jan-14,2014,7,1,,,,32,40,,10.1111/icad.12028,,,2,0.5
,,,,,,,,,,,,Is the Evolution of Inaccurate Mimicry a Result of Selection by a Suite of Predators? A Case Study Using Myrmecomorphic Spiders,"Pekar, Stano; Jarab, Martin; Fromhage, Lutz; Herberstein, Marie E.",,,,AMERICAN NATURALIST,Jul-11,2011,178,1,,,,124,134,,10.1086/660287,,,20,2.86
,,,,,,,,,,,,Batesian mimics influence mimicry ring evolution,"Franks, DW; Noble, J",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JAN 22 2004,2004,271,1535,,,,191,196,,10.1098/rspb.2003.2582,,,13,0.93
,,,,Flower,,,Flower,,,,Pollinator/butterfly,Flower colour adaptation in a mimetic orchid,"Newman, Ethan; Anderson, Bruce; Johnson, Steven D.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUN 22 2012,2012,279,1737,,,,2309,2313,,10.1098/rspb.2011.2375,,,39,6.5
,,,,,,,,,,,,"The adaptive significance of batesian mimicry in the swallowtail butterfly, Papilio polytes (Insecta, Papilionidae): Associative learning in a predator","Uesugi, K",,,,ETHOLOGY,Sep-96,1996,102,9,,,,762,775,,,,,21,0.95
,,,,Flower,,,Flower,,,,Pollinator,"Batesian mimicry in the non-rewarding orchid Disa pulchra, and its consequences for pollinator behaviour","Johnson, SD",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-00,2000,71,1,,,,119,132,,10.1006/bijl.1999.0430,,,93,5.17
,,,,,,,,,,,,A Markov chain model of predator-model-mimic interactions,"Tsoularis, A; Wallace, J",,,,JOURNAL OF BIOLOGICAL SYSTEMS,Sep-05,2005,13,3,,,,273,286,,10.1142/S0218339005001483,,,3,0.23
,,,,,,,,,,,,FEATURE SALTATION AND THE EVOLUTION OF MIMICRY,"Gamberale-Stille, Gabriella; Balogh, Alexandra C. V.; Tullberg, Birgitta S.; Leimar, Olof",,,,EVOLUTION,Mar-12,2012,66,3,,,,807,817,,10.1111/j.1558-5646.2011.01482.x,,,13,2.17
,,,,,,,,,,,,EVOLUTIONARY BIOLOGY To mimicry and back again,"Pfenning, David W.",,,,NATURE,JUN 9 2016,2016,534,7606,,,,184,185,,,,,0,0
,,,,,,,,,,,,Colour and pattern similarity in mimicry: evidence for a hierarchical discriminative learning of different components,"Aronsson, Marianne; Gamberale-Stille, Gabriella",,,,ANIMAL BEHAVIOUR,Oct-12,2012,84,4,,,,881,887,,10.1016/j.anbehav.2012.07.011,,,11,1.83
,,,,Spider,,,Ant,,,,Predator/mantid,Innate aversion to ants (Hymenoptera : Formicidae) and ant mimics: experimental findings from mantises (Mantodea),"Nelson, XJ; Jackson, RR; Li, D; Barrion, AT; Edwards, GB",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,May-06,2006,88,1,,,,23,32,,10.1111/j.1095-8312.2006.00598.x,,,32,2.67
,,,,,,,,,,,,Spectacular Batesian mimicry in ants,"Ito, F; Hashim, R; Huei, YS; Kaufmann, E; Akino, T; Billen, J",,,,NATURWISSENSCHAFTEN,Oct-04,2004,91,10,,,,481,484,,10.1007/s00114-004-0559-z,,,14,1
,,,,,,,,,,,,Pollinators can prefer rewarding models to mimics: consequences for the assumptions of Batesian floral mimicry,"de Jager, Marinus; Newman, Ethan; Theron, Genevieve; Botha, Pieter; Barton, Madeleine; Anderson, Bruce",,,,PLANT SYSTEMATICS AND EVOLUTION,Apr-16,2016,302,4,,,,409,418,,10.1007/s00606-015-1276-0,,,0,0
,,,,,,,,,,,,"Molecular basis of wing coloration in a Batesian mimic butterfly, Papilio polytes","Nishikawa, Hideki; Iga, Masatoshi; Yamaguchi, Junichi; Saito, Kazuki; Kataoka, Hiroshi; Suzuki, Yutaka; Sugano, Sumio; Fujiwara, Haruhiko",,,,SCIENTIFIC REPORTS,NOV 11 2013,2013,3,,,,,,,3184,10.1038/srep03184,,,6,1.2
,,,,Flower,,,Flower,,,,Pollinator,"Colour similarity to rewarding model plants affects pollination in a food deceptive orchid, Orchis boryi","Gumbert, A; Kunze, J",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Mar-01,2001,72,3,,,,419,433,,10.1111/j.1095-8312.2001.tb01328.x,,,82,4.82
,,,,Marine fish,,,Marine fish,,,,Predator,Mimicry in coral reef fish: how accurate is this deception in terms of color and luminance?,"Cheney, Karen L.; Marshall, N. Justin",,,,BEHAVIORAL ECOLOGY,MAY-JUN 2009,2009,20,3,,,,459,468,,10.1093/beheco/arp017,,,29,3.22
,,,,,,,,,,,,Mimicry: An interface between psychology and evolution,"Mallet, J",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,JUL 31 2001,2001,98,16,,,,8928,8930,,10.1073/pnas.171326298,,,17,1
,,,,Butterfly,,,Butterfly,,,,Predator,The aerodynamic costs of warning signals in palatable mimetic butterflies and their distasteful models,"Srygley, RB",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAR 22 2004,2004,271,1539,,,,589,594,,10.1098/rspb.2003.2627,,,34,2.43
,,,,,,,,,,,,A Batesian mimic and its model share color production mechanisms,"Kikuchi, David W.; Pfennig, David W.",,,,CURRENT ZOOLOGY,2012,2012,58,4,,,,658,667,,,,,11,1.83
,,,,,,,,,,,,Unlinked Mendelian inheritance of red and black pigmentation in snakes: Implications for Batesian mimicry.,"Davis Rabosky, Alison R; Cox, Christian L; Rabosky, Daniel L",,,,Evolution; international journal of organic evolution,2016-Apr,2016,70,4,,,,944,53,,10.1111/evo.12902,,,0,0
,,,,,,,,,,,,"A model without a mimic: Aristolochic acids from the California pipevine swallowtail, Battus philenor hirsuta, and its host plant, Aristolochia californica","Fordyce, JA",,,,JOURNAL OF CHEMICAL ECOLOGY,Nov-00,2000,26,11,,,,2567,2578,,10.1023/A:1005588829864,,,26,1.44
,,,,Fly (manipulated),,,Wasp,,,,Predator/dragonfly,Why are wasps so intimidating: field experiments on hunting dragonflies (Odonata : Aeshna grandis),"Kauppinen, J; Mappes, J",,,,ANIMAL BEHAVIOUR,Sep-03,2003,66,,3,,,505,511,,10.1006/anbe.2003.2225,,,40,2.67
,,,,,,,,,,,,A NEW TYPE OF MIMICRY IN BUTTERFLIES,SMETACEK P,,,,Journal of the Bombay Natural History Society,1989,1989,86,3,,,,471,,,,,,0,0
,,,,,,,,,,,,Automimic frequency influences the foraging decisions of avian predators on aposematic prey,"Skelhorn, John; Rowe, Candy",,,,ANIMAL BEHAVIOUR,Nov-07,2007,74,,5,,,1563,1572,,10.1016/j.anbehav.2007.03.021,,,13,1.18
,,,,,,,,,,,,"Juvenile grunt (Haemulidae) mimicking a venomous leatherjacket (Carangidae), with a summary of Batesian mimicry in marine fishes.","Sazima, Ivan",,,,Aqua (Miradolo Terme),Nov-02,2002,6,2,,,,61,68,,,,,3,0.19
,,,,,,,,,,,,An empirical test for convergence using African barbs (Cypriniformes: Cyprinidae),"Armbruster, Jonathan W.; Stout, Carla C.; Hayes, Malorie M.",,,,EVOLUTIONARY ECOLOGY,Jun-16,2016,30,3,,,,435,450,,10.1007/s10682-015-9811-6,,,1,0.5
